unit_id,task_id,domain,dimension,task_title_short,gold_dimension_value,label_gpt4o,conf_gpt4o,reason_gpt4o,label_claude,conf_claude,reason_claude,proxy_final_label,adjudication_needed,adjudicator_label,adjudicator_note
BZ02_when,BZ02,business,when,为一家中型制造企业制定AI应用落地规划,在当前制造业转型升级的关键时期，预计项目启动时间为2023年Q4，完成时间为2024年Q2,private,3,"The specific timeline for project initiation and completion depends on user-specific planning and context, which is not inferable from general information.",private,3,Specific project timeline dates (2023年Q4 to 2024年Q2) require internal company planning decisions that cannot be inferred from the general task description.,private,False,,
BZ02_where,BZ02,business,where,为一家中型制造企业制定AI应用落地规划,位于中国某工业城市的制造工厂，涉及多个生产车间和物流仓储区域,private,3,The specific location and details about the manufacturing facility are user-specific and not inferable from the task title or general context.,private,3,"The specific location (China, industrial city) and detailed facility layout (multiple workshops, logistics areas) are company-specific details not inferable from the general task description.",private,False,,
BZ02_who,BZ02,business,who,为一家中型制造企业制定AI应用落地规划,企业高层管理者（决策者）、IT部门（技术实施者）、生产线员工（最终用户）、外部AI解决方案提供商（合作伙伴）,mixed,2,"The involvement of high-level management, IT staff, and production line employees is inferable, but the inclusion of external AI solution providers is user-specific.",public,2,The stakeholders for AI implementation in manufacturing are standard and predictable based on common business practice and domain conventions.,mixed,False,,
BZ02_why,BZ02,business,why,为一家中型制造企业制定AI应用落地规划,提升生产效率和质量，降低成本，增强市场竞争力；通过智能化转型实现可持续发展。,public,3,"The goals of improving efficiency, quality, reducing costs, and enhancing competitiveness are standard motivations for AI adoption in manufacturing, and sustainable development aligns with common business priorities.",public,3,The 'why' dimension directly matches the stated task goal and represents standard business motivations for AI implementation in manufacturing.,public,False,,
BZ03_how_feel,BZ03,business,how_feel,写一份咖啡品牌进入下沉市场的营销策略,专业且亲民，传递出品牌对品质生活的追求；充满活力与创新，激发消费者的好奇心和购买欲望；注重互动与体验，让消费者感受到品牌的温度。,mixed,2,"The general tone of being professional, approachable, and engaging is inferable, but the specific emphasis on qualities like vitality, innovation, and interaction carries user-specific details.",mixed,2,"While general marketing tone expectations for coffee brands entering lower-tier markets are inferable, the specific emotional positioning combining professionalism, vitality, and experiential warmth reflects particular brand strategy choices.",mixed,False,,
BZ03_how_much,BZ03,business,how_much,写一份咖啡品牌进入下沉市场的营销策略,总预算100万元，其中市场调研费用20万、产品开发与包装30万、渠道合作费用20万、营销推广费用20万、售后服务体系建设10万；项目周期6个月，团队规模8人。,private,3,"The specific budget allocation, project timeline, and team size are user-specific details that cannot be reasonably inferred from the task title or general context.",private,3,"Specific budget amounts, timeline, and team size are highly dependent on the company's financial capacity and strategic priorities, which cannot be inferred from the general task description.",private,False,,
BZ03_how_to_do,BZ03,business,how_to_do,写一份咖啡品牌进入下沉市场的营销策略,进行市场调研，了解目标消费者需求；制定差异化的产品策略，推出适合下沉市场的咖啡产品；与当地咖啡店合作，提供培训和支持；利用社交媒体和线下活动进行品牌宣传；建立完善的售后服务体系。,mixed,2,"The general direction of conducting market research, creating tailored products, and using marketing strategies is inferable, but the specific methods and details like partnering with local coffee shops or establishing a support system are user-specific.",public,2,Standard marketing strategy components for market expansion are well-established business practices that can be reasonably inferred from the task context.,mixed,False,,
BZ03_when,BZ03,business,when,写一份咖啡品牌进入下沉市场的营销策略,在当前消费升级趋势下，下沉市场消费者对品质生活的需求日益增长；选择在节假日和重要活动期间进行重点推广。,mixed,2,"The general idea of timing promotions during holidays and events is inferable, but the specific mention of 'current consumption upgrade trends' and 'increasing demand for quality life' carries user-specific details.",mixed,2,"The general timing strategy around holidays and consumer upgrade trends is inferable from marketing conventions, but the specific emphasis on current consumption upgrade trends and particular holiday selection reflects user-specific strategic choices.",mixed,False,,
BZ03_where,BZ03,business,where,写一份咖啡品牌进入下沉市场的营销策略,三四线城市及以下地区，特别是经济较为发达的县城和乡镇；通过线上线下结合的方式覆盖更多潜在消费者。,mixed,2,"The general focus on lower-tier cities and towns is inferable, but the specific emphasis on economically developed counties and the online-offline strategy carries user-specific details.",public,2,"The term '下沉市场' in Chinese business context clearly refers to lower-tier cities and towns, making the geographic targeting reasonably inferable.",mixed,False,,
BZ03_who,BZ03,business,who,写一份咖啡品牌进入下沉市场的营销策略,目标消费者（主要受众）、当地咖啡店经营者（合作伙伴）、分销商（渠道支持）、市场推广团队（执行者）,mixed,2,"The general categories of stakeholders like target consumers and distributors are inferable, but the specific breakdown and emphasis on local coffee shop operators and marketing teams carry user-specific details.",public,2,The key stakeholders for a coffee brand's market expansion strategy are standard and predictable from business domain knowledge.,mixed,False,,
BZ03_why,BZ03,business,why,写一份咖啡品牌进入下沉市场的营销策略,扩大品牌在下沉市场的影响力，提升市场份额；满足下沉市场消费者对高品质咖啡的需求，增强品牌忠诚度。,mixed,2,"The general goal of expanding influence and market share is inferable, but specific details like addressing consumer demand for high-quality coffee and enhancing brand loyalty are user-specific.",public,2,"The core business rationale for market expansion and share growth is standard and inferable from the task goal, though specific consumer need details add some specificity.",mixed,False,,
BZ04_how_feel,BZ04,business,how_feel,分析跨境电商平台Temu的商业模式与增长逻辑,客观严谨但易于理解，强调数据分析与实际案例相结合；既指出Temu的成功之处也讨论潜在风险，为读者提供全面而深入的视角,mixed,2,"The general tone of being objective and analytical is inferable, but the specific emphasis on combining data analysis with case studies and discussing both successes and risks carries user-specific details.",public,2,"Business analysis conventions typically require objective, data-driven approaches with balanced perspectives on both strengths and risks.",mixed,False,,
BZ04_how_much,BZ04,business,how_much,分析跨境电商平台Temu的商业模式与增长逻辑,预计分析周期为3个月，团队规模4-5人；需要访问并处理大量数据，包括至少10份行业报告、20篇以上相关新闻文章；最终形成一份不少于50页的研究报告，并附带详细的图表和案例分析,private,3,"The specific details about the analysis duration, team size, data sources, and report length are user-specific and not inferable from the task title or general context.",private,3,"The specific timeline, team size, data quantities, and report length are user-specific project constraints not inferable from the general business analysis task.",private,False,,
BZ04_how_to_do,BZ04,business,how_to_do,分析跨境电商平台Temu的商业模式与增长逻辑,通过收集和分析公开数据、行业报告、新闻报道以及用户反馈；结合SWOT分析（优势、劣势、机会、威胁）来评估Temu的商业模式；利用案例研究方法探讨其成功因素；并与行业内其他领先平台进行对比分析,mixed,2,"The general methods like data analysis, SWOT, and case studies are inferable, but the specific combination and focus on Temu and comparisons are user-specific details.",public,2,Standard business analysis methodology for studying e-commerce platforms is well-established and predictable from the task goal.,mixed,False,,
BZ04_when,BZ04,business,when,分析跨境电商平台Temu的商业模式与增长逻辑,在当前全球贸易环境变化频繁，跨境电商市场竞争加剧的背景下，特别是在疫情后经济复苏的关键时期,mixed,2,"The general timing related to global trade changes and post-pandemic recovery is inferable, but the specific emphasis on these factors is user-specific.",mixed,2,"While the general timing context of post-pandemic e-commerce analysis is inferable, the specific framing about global trade environment changes and economic recovery timing reflects particular analytical perspectives not clearly derivable from the task alone.",mixed,False,,
BZ04_where,BZ04,business,where,分析跨境电商平台Temu的商业模式与增长逻辑,主要分析Temu在中国及海外市场的运营情况，包括但不限于美国、欧洲、东南亚等地区，同时考虑不同国家和地区的政策法规和市场环境,mixed,2,"The focus on Temu's operations in China and overseas markets is inferable, but the specific mention of regions like the US, Europe, and Southeast Asia, as well as the consideration of policies and market environments, includes user-specific details.",public,2,"Temu is a well-known cross-border e-commerce platform operating from China to global markets, making its geographic scope reasonably inferable from the task context.",mixed,False,,
BZ04_who,BZ04,business,who,分析跨境电商平台Temu的商业模式与增长逻辑,跨境电商从业者、电商分析师、投资者、创业者、相关学术研究者以及对跨境电商感兴趣的学生和教师,mixed,2,"The general audience of professionals and stakeholders in the cross-border e-commerce domain is inferable, but the inclusion of specific groups like students and teachers carries user-specific details.",public,2,The target audience for a Temu business model analysis is predictable from standard business analysis conventions and the cross-border e-commerce domain context.,mixed,False,,
BZ04_why,BZ04,business,why,分析跨境电商平台Temu的商业模式与增长逻辑,深入理解Temu的商业模式和增长策略，为其他跨境电商平台提供参考和借鉴；帮助投资者和创业者把握市场趋势，做出更明智的决策。,mixed,2,"The general purpose of analyzing a business model for reference and decision-making is inferable, but the specific focus on investors and entrepreneurs is user-specific.",mixed,2,"The first part about understanding Temu's business model for reference is directly stated in the task goal, but the additional purpose about helping investors and entrepreneurs make decisions adds user-specific context not clearly inferable from the original specification.",mixed,False,,
BZ05_how_feel,BZ05,business,how_feel,为初创SaaS公司设计一套客户成功体系,专业且友好，注重与客户的互动和沟通，确保客户感受到被重视和理解；积极主动地解决问题，同时传递出公司的专业性和可靠性；营造一种合作共赢的氛围，让客户感到他们是公司成长的一部分。,mixed,2,"The general tone of professionalism, friendliness, and focus on customer interaction is inferable, but the specific emphasis on 'cooperation' and 'making customers feel part of the company's growth' reflects user-specific details.",public,2,The professional yet friendly tone and customer-centric approach described are standard best practices for SaaS customer success that any knowledgeable person would expect.,mixed,False,,
BZ05_how_much,BZ05,business,how_much,为初创SaaS公司设计一套客户成功体系,总预算50万元，其中客户成功平台建设20万、培训材料开发10万、客户服务团队运营15万、市场调研和数据分析5万；项目周期6个月，团队规模8人，包括3名客户成功经理、2名技术支持人员、1名产品经理、1名数据分析师和1名项目经理。,private,3,"The specific budget allocation, project timeline, and team composition are highly user-specific and not inferable from general context or conventions.",private,3,"The specific budget amounts, team composition, and timeline are highly dependent on the company's size, resources, and strategic priorities which cannot be inferred from the general task description.",private,False,,
BZ05_how_to_do,BZ05,business,how_to_do,为初创SaaS公司设计一套客户成功体系,首先进行客户细分，了解不同客户群体的需求；建立客户成功指标体系，如净推荐值（NPS）、客户健康评分等；制定详细的客户培训计划，包括在线教程、视频演示和定期研讨会；实施主动的客户沟通机制，如定期回访、满意度调查和一对一咨询；建立客户反馈循环，不断优化产品和服务。,mixed,2,"The general approach to designing a customer success system is inferable, but specific details like NPS, customer health scores, and particular training methods depend on user-specific preferences.",public,2,"The core customer success methodologies (segmentation, KPIs like NPS, training, communication, feedback loops) are standard industry practices that would be expected for any SaaS customer success system.",mixed,False,,
BZ05_when,BZ05,business,when,为初创SaaS公司设计一套客户成功体系,在公司成立初期即开始规划，并随着业务增长逐步完善和优化；特别是在产品迭代、市场扩张或客户反馈较多时，需及时调整客户成功策略。,mixed,2,"The general idea of starting early and iterating customer success strategies is inferable, but the specific triggers like product iteration or market expansion are user-specific details.",public,2,The timing for implementing customer success systems in SaaS startups follows well-established industry best practices that are widely documented and predictable.,mixed,False,,
BZ05_where,BZ05,business,where,为初创SaaS公司设计一套客户成功体系,全球范围内的在线平台，根据不同地区的市场特点和客户需求提供定制化服务；特别关注北美、欧洲及亚洲的主要市场。,mixed,2,"The focus on global online platforms and major markets like North America, Europe, and Asia is partially inferable, but the specific emphasis on customization for different regions is user-specific.",private,3,"The specific geographic focus on North America, Europe, and Asia with customized regional services requires company-specific strategic decisions not inferable from the general task.",mixed,False,,
BZ05_who,BZ05,business,who,为初创SaaS公司设计一套客户成功体系,初创SaaS公司的客户（主要受众）、客户成功团队（执行者）、销售和支持团队（协作方）、公司管理层（决策支持）,mixed,2,"The general roles involved (customers, customer success team, etc.) are inferable, but the specific focus on '初创SaaS公司' and the exact stakeholders carry user-specific details.",public,2,The stakeholders involved in a SaaS customer success system are standard and predictable based on common business practices and organizational structures.,mixed,False,,
BZ05_why,BZ05,business,why,为初创SaaS公司设计一套客户成功体系,提升客户满意度和忠诚度，确保客户能够充分利用产品功能，从而提高续费率和口碑传播；通过持续的客户成功支持，帮助初创公司快速成长并实现长期可持续发展。,mixed,2,"The general direction of improving customer satisfaction, loyalty, and product utilization is inferable, but the emphasis on helping the company achieve long-term sustainable growth carries user-specific details.",public,2,The gold content directly restates the task goal and adds standard SaaS business objectives that are commonly understood in the domain.,mixed,False,,
BZ06_how_feel,BZ06,business,how_feel,写一份餐饮连锁品牌的加盟商招募方案,专业严谨但富有吸引力，强调合作共赢的理念，激发潜在加盟商的信心和热情,public,3,The tone of 'professional yet appealing' and emphasizing 'win-win cooperation' aligns with common conventions for recruiting franchisees in the business domain.,public,2,The tone combining professionalism with attractiveness and emphasizing win-win cooperation is a standard approach for franchise recruitment materials in the restaurant industry.,public,False,,
BZ06_how_much,BZ06,business,how_much,写一份餐饮连锁品牌的加盟商招募方案,总预算50万元，其中宣传材料制作10万、线上广告投放20万、线下活动组织10万、人力资源及运营支持10万；预计招募30名优质加盟商，项目周期为6个月,private,3,"The specific budget allocation, recruitment target, and project timeline depend on user-specific details and are not inferable from general context or conventions.",private,3,"The specific budget amounts, target numbers, and timeline are company-specific financial decisions that cannot be inferred from general franchise recruitment context.",private,False,,
BZ06_how_to_do,BZ06,business,how_to_do,写一份餐饮连锁品牌的加盟商招募方案,首先制定详细的加盟政策和流程，包括加盟条件、费用结构、培训支持等；其次，设计吸引人的宣传材料，如手册、视频、海报等；然后，通过多渠道推广，如社交媒体、行业展会、合作伙伴推荐等；最后，组织招商会和一对一洽谈，确保与潜在加盟商的有效沟通,public,2,"The steps for recruiting franchisees, such as defining policies, creating promotional materials, using multi-channel marketing, and organizing meetings, are standard practices in the business domain and align with the task goal.",public,2,"The systematic approach of developing franchise policies, creating marketing materials, multi-channel promotion, and organizing recruitment events follows standard business development practices that are widely known in the franchise industry.",public,False,,
BZ06_when,BZ06,business,when,写一份餐饮连锁品牌的加盟商招募方案,在品牌扩张的关键时期，通常是在年度计划的开始阶段或特定市场活动期间启动招募方案,public,2,"It is common practice in business to launch recruitment efforts during key expansion periods, such as the start of annual plans or market campaigns.",mixed,2,"While it's common sense that franchise recruitment happens during strategic periods, the specific timing details like 'annual plan start' or 'specific market activity periods' require knowledge of the particular brand's business cycle and strategy.",mixed,False,,
BZ06_where,BZ06,business,where,写一份餐饮连锁品牌的加盟商招募方案,全国范围内的一线至三线城市，重点考虑人口密集、消费水平较高的区域；同时，通过线上平台（如官方网站、社交媒体）和线下活动（如行业展会）进行宣传,mixed,2,"The general focus on nationwide expansion and targeting high-consumption areas is inferable, but the specific emphasis on one- to three-tier cities and detailed promotional methods are user-specific details.",mixed,2,"The general targeting of major cities and high-consumption areas is inferable from franchise recruitment conventions, but the specific tier classifications and detailed channel mix requires brand-specific strategy decisions.",mixed,False,,
BZ06_who,BZ06,business,who,写一份餐饮连锁品牌的加盟商招募方案,潜在加盟商（主要受众）、现有加盟商（分享经验）、公司高层管理者（决策支持）、市场营销团队（方案执行）,mixed,2,"The general target audience, such as potential and existing franchisees, is inferable, but the inclusion of specific roles like company executives and marketing teams carries user-specific details.",public,2,The target audiences for a franchise recruitment plan are standard and predictable in the restaurant chain business context.,mixed,False,,
BZ06_why,BZ06,business,why,写一份餐饮连锁品牌的加盟商招募方案,扩大品牌影响力，吸引更多优质加盟商，共同推动品牌在全国范围内的快速发展；提升品牌知名度和市场占有率。,public,3,"The goal of expanding brand influence, attracting franchisees, and promoting nationwide growth is directly stated in the task goal and aligns with common business objectives for franchise recruitment plans.",public,3,"The gold content directly restates the task goal and adds standard business objectives (brand awareness, market share) that are conventional for franchise recruitment plans.",public,False,,
BZ07_how_feel,BZ07,business,how_feel,分析短视频平台广告业务的盈利模式,报告应保持客观严谨的态度，确保所有结论都有充分的数据支持；同时，在呈现方式上追求简洁明了，使非专业人士也能轻松理解复杂的信息；整体风格积极向上，鼓励创新思维，激发读者对未来趋势的好奇心。,mixed,2,"The general need for a professional, clear, and engaging tone is inferable, but specific stylistic preferences like 'encouraging innovation' and 'stimulating curiosity' are user-specific details.",mixed,2,"While business reports generally require objectivity and data support, the specific tone preferences (encouraging innovation, sparking curiosity) and accessibility requirements are user-specific choices not clearly inferable from the task alone.",mixed,False,,
BZ07_how_much,BZ07,business,how_much,分析短视频平台广告业务的盈利模式,预计项目周期为6个月，期间将涵盖至少10个国内外主流短视频平台的数据分析；团队规模设定为5人，包括2名数据分析师、1名市场研究员、1名技术开发人员及1名项目经理；初步预算约为30万元人民币，其中数据分析工具订阅费占40%，人力资源成本占50%，其余用于其他杂项开支。,private,3,"The specific details about project duration, team composition, and budget allocation are user-specific and not inferable from the task title, goal, or domain context alone.",private,3,"The specific project timeline, team composition, budget amounts, and cost breakdowns are highly dependent on the client's resources, scope preferences, and organizational constraints that cannot be inferred from the general task description.",private,False,,
BZ07_how_to_do,BZ07,business,how_to_do,分析短视频平台广告业务的盈利模式,通过收集和分析目标平台上的公开数据，包括但不限于用户行为数据、广告投放记录等；采用案例研究方法，选取成功案例进行深度剖析；结合定性与定量分析手段，全面评估广告业务的表现及其对整体收入贡献的影响。,mixed,2,"The general approach of data collection, case studies, and combining qualitative and quantitative analysis is inferable, but the specific focus on user behavior data and advertising records is user-specific.",public,2,Standard business analysis methodology for digital advertising platforms follows established research practices that are widely known in the domain.,mixed,False,,
BZ07_when,BZ07,business,when,分析短视频平台广告业务的盈利模式,在当前数字经济迅速发展的背景下，尤其是在移动互联网和短视频消费日益增长的趋势下，及时分析并掌握这一领域的最新动态至关重要。,public,3,The importance of timely analysis in a rapidly evolving digital economy and growing short video consumption is a widely recognized convention in business strategy.,public,2,The timing context about current digital economy and mobile internet trends is standard business analysis framing that would be expected for any contemporary short video platform study.,public,False,,
BZ07_where,BZ07,business,where,分析短视频平台广告业务的盈利模式,全球范围内的主要短视频平台，如抖音、快手等；考虑到不同地区的市场特点与用户习惯差异，在分析时需结合具体地域的文化背景和经济环境。,mixed,2,"The focus on major short-video platforms globally is inferable, but the emphasis on specific regional cultural and economic contexts involves user-specific details.",mixed,2,"While major short video platforms like TikTok/Douyin are predictable for this analysis, the specific emphasis on regional cultural and economic considerations requires user-specific research scope decisions.",mixed,False,,
BZ07_who,BZ07,business,who,分析短视频平台广告业务的盈利模式,短视频平台运营者（直接受众）、广告主（需求方）、内容创作者（供给方）、数字营销专家（专业顾问）、行业分析师（研究者）以及潜在投资者（利益相关者）。,mixed,2,"The general categories of stakeholders like platform operators, advertisers, and content creators are inferable, but the inclusion of specific groups like digital marketing experts and potential investors reflects user-specific details.",public,2,The stakeholders in short video platform advertising business models are standard industry participants that can be reasonably inferred from domain knowledge.,mixed,False,,
BZ07_why,BZ07,business,why,分析短视频平台广告业务的盈利模式,深入理解短视频平台广告业务的盈利模式，为相关企业提供战略指导，帮助其优化广告策略以提高收益；同时，为投资者提供有价值的市场洞察，辅助其做出更明智的投资决策。,mixed,2,"The general purpose of understanding the business model and providing strategic guidance is inferable, but the inclusion of investor-focused insights is user-specific and not clearly predictable.",mixed,2,"The core business guidance purpose is inferable from the task goal, but the specific addition of investor insights and investment decision support represents user-specific expansion beyond what's clearly stated.",mixed,False,,
BZ08_how_feel,BZ08,business,how_feel,为一家传统零售企业设计数字化转型路线图,积极进取且充满信心，既要体现出对未来发展的乐观态度，也要实事求是地面对挑战；整个过程应保持透明沟通，鼓励全员参与，共同推动变革。,mixed,2,"The general tone of optimism and transparency is inferable, but the specific emphasis on full participation and facing challenges is user-specific.",mixed,2,"While positive attitude and transparency are common in digital transformation contexts, the specific emotional tone and communication style details reflect particular organizational preferences.",mixed,False,,
BZ08_how_much,BZ08,business,how_much,为一家传统零售企业设计数字化转型路线图,预计总投资为500万元人民币，其中软件开发与采购占300万，硬件设备更新维护100万，培训与咨询费用100万；项目周期定为一年，分四个季度推进，每个季度有明确的目标和评估标准。,private,3,"The specific budget allocation, investment amount, and project timeline are user-specific details that cannot be reasonably inferred from the task title or general context.",private,3,"Specific budget amounts, timeline, and cost breakdowns are highly dependent on the individual company's size, resources, and strategic priorities.",private,False,,
BZ08_how_to_do,BZ08,business,how_to_do,为一家传统零售企业设计数字化转型路线图,首先进行全面的业务流程分析，识别痛点；然后引入先进的信息技术，如大数据分析、云计算及人工智能等，对供应链管理、库存控制、客户服务等方面进行升级；同时，加强线上线下融合，打造全渠道购物体验。,mixed,2,"The general approach of using digital tools to optimize operations and enhance customer experience is inferable, but the specific technologies and steps mentioned depend on user-specific preferences and details.",public,2,Digital transformation methodology for retail follows well-established industry practices that are widely documented and predictable.,mixed,False,,
BZ08_when,BZ08,business,when,为一家传统零售企业设计数字化转型路线图,从当前开始，计划在接下来的12个月内完成初步转型，之后进入持续优化阶段；考虑到零售行业的季节性特点，关键节点如节假日需特别关注。,mixed,2,"The general timeline for digital transformation and attention to seasonal factors in retail is inferable, but the specific 12-month plan and emphasis on holidays are user-specific details.",mixed,2,"While digital transformation typically follows phased approaches and retail seasonality is common knowledge, the specific 12-month timeline and particular holiday considerations require user-specific business context.",mixed,False,,
BZ08_where,BZ08,business,where,为一家传统零售企业设计数字化转型路线图,在中国大陆的主要城市进行试点，随后逐步扩展至全国范围；同时，考虑到不同地区的消费习惯和基础设施差异，需要制定区域化的实施方案。,mixed,2,"The general idea of piloting in major cities and expanding nationwide is inferable, but the specific focus on China and regional customization depends on user-specific details.",private,3,The specific geographic focus on mainland China and the phased rollout strategy requires user-specific business context that cannot be inferred from the general task description.,mixed,False,,
BZ08_who,BZ08,business,who,为一家传统零售企业设计数字化转型路线图,企业高层管理者（决策支持）、IT部门（技术实施）、市场营销团队（市场策略）、一线员工（执行与反馈）、供应商和合作伙伴（协同合作）以及消费者（最终受益者）。,mixed,2,"The involvement of general stakeholder groups like management, IT, marketing, and consumers is inferable, but the specific granularity and inclusion of suppliers and partners are user-specific details.",public,2,Digital transformation stakeholders in retail enterprises follow standard organizational patterns that are widely recognized in business practice.,mixed,False,,
BZ08_why,BZ08,business,why,为一家传统零售企业设计数字化转型路线图,提升企业竞争力，通过数字化手段优化运营效率、增强客户体验并开拓新的市场机会；同时，响应行业趋势，确保企业的长期可持续发展。,mixed,2,"The general goal of enhancing competitiveness and leveraging digital tools is inferable, but specific details like responding to industry trends and ensuring long-term sustainability are user-specific and not fully predictable.",public,2,The gold content directly restates the task goal with standard business justifications that are predictable from digital transformation context.,mixed,False,,
BZ09_how_feel,BZ09,business,how_feel,写一份面向投资人的医疗AI项目商业计划书摘要,专业严谨且具有吸引力，突出项目的创新性和市场潜力；语言简洁明了，逻辑清晰，能够迅速抓住投资者的注意力；同时传达出团队的专业能力和对项目的坚定信心。,public,2,"Professionalism, clarity, and appeal are standard expectations for business plans aimed at attracting investors.",public,2,"The professional, attractive tone with emphasis on innovation and market potential is standard for investor-facing business plan summaries in any domain.",public,False,,
